;1001_IEO_NEU_XX;N
6002;1074_TAI_SAD_XX.avi;S
1924;1024_DFA_NEU_XX.avi;N
7405;1091_IWL_NEU_XX.avi;N
2616;1033_IEO_FEA_HI.avi;F
6606;1081_ITS_ANG_XX.avi;A
2435;1030_WSI_HAP_XX.avi;H
3490;1043_ITS_SAD_XX.avi;N
970;1013_IEO_NEU_XX.avi;N
2382;1030_IOM_SAD_XX.avi;A
4842;1060_IOM_SAD_XX.avi;N
420;1006_IEO_FEA_HI.avi;N
2030;1026_IEO_NEU_XX.avi;N
432;1006_IOM_SAD_XX.avi;S
2415;1030_ITH_DIS_XX.avi;D
4488;1055_WSI_FEA_XX.avi;A
794;1010_TSI_NEU_XX.avi;N
6896;1085_IWW_HAP_XX.avi;H
1422;1018_MTI_SAD_XX.avi;N
1918;1024_ITH_NEU_XX.avi;N
6963;1086_IEO_DIS_MD.avi;N
7429;1091_TSI_NEU_XX.avi;N
2558;1032_TAI_SAD_XX.avi;S
7306;1090_IWW_HAP_XX.avi;H
3666;1045_WSI_SAD_XX.avi;N
1203;1015_ITS_DIS_XX.avi;D
892;1012_IEO_SAD_LO.avi;S
6273;1077_DFA_FEA_XX.avi;N
4104;1051_IOM_SAD_XX.avi;N
1970;1025_IOM_NEU_XX.avi;N
4426;1055_TIE_SAD_XX.avi;N
6377;1079_IEO_HAP_MD.avi;H
873;1011_ITS_ANG_XX.avi;A
6200;1076_TSI_HAP_XX.avi;H
7166;1088_ITH_HAP_XX.avi;H
5103;1063_TAI_DIS_XX.avi;S
5516;1068_MTI_SAD_XX.avi;H
4819;1060_IEO_HAP_LO.avi;H
4133;1051_ITH_HAP_XX.avi;H
5360;1066_IWL_FEA_XX.avi;H
417;1006_IEO_ANG_HI.avi;A
1531;1019_TSI_DIS_XX.avi;D
7413;1091_ITH_SAD_XX.avi;S
5098;1063_TAI_NEU_XX.avi;N
1880;1024_IEO_DIS_MD.avi;S
4335;1054_IEO_ANG_HI.avi;A
4984;1062_IEO_HAP_MD.avi;H
5875;1072_TSI_ANG_XX.avi;A
5982;1074_TIE_NEU_XX.avi;N
2360;1030_IEO_HAP_MD.avi;H
6492;1080_TAI_HAP_XX.avi;H
6564;1081_IOM_ANG_XX.avi;D
6824;1084_TAI_DIS_XX.avi;D
320;1004_WSI_NEU_XX.avi;N
3949;1049_IWW_DIS_XX.avi;S
5866;1072_ITS_NEU_XX.avi;N
6581;1081_MTI_SAD_XX.avi;N
5830;1072_IWW_NEU_XX.avi;N
3213;1040_TAI_HAP_XX.avi;H
2456;1031_TIE_NEU_XX.avi;N
7324;1090_IWL_HAP_XX.avi;H
6069;1075_TIE_DIS_XX.avi;F
1761;1022_DFA_HAP_XX.avi;H
4904;1061_IEO_SAD_LO.avi;N
2963;1037_IWW_ANG_XX.avi;A
2922;1036_TSI_SAD_XX.avi;S
300;1004_ITH_FEA_XX.avi;F
5788;1071_ITS_FEA_XX.avi;F
6259;1077_IWL_SAD_XX.avi;N
507;1007_TIE_HAP_XX.avi;H
2144;1027_IWW_FEA_XX.avi;S
1224;1016_IEO_ANG_MD.avi;N
4878;1060_DFA_SAD_XX.avi;N
285;1004_MTI_HAP_XX.avi;H
7404;1091_MTI_DIS_XX.avi;D
1436;1018_ITH_FEA_XX.avi;F
7440;1091_WSI_DIS_XX.avi;D
495;1007_IEO_SAD_MD.avi;N
7187;1088_TSI_FEA_XX.avi;N
3219;1040_MTI_HAP_XX.avi;H
6779;1083_WSI_NEU_XX.avi;N
2285;1029_IEO_ANG_HI.avi;A
6516;1080_DFA_HAP_XX.avi;H
5155;1064_IEO_ANG_HI.avi;A
1535;1019_WSI_ANG_XX.avi;A
4701;1058_IWL_HAP_XX.avi;H
4991;1062_IEO_ANG_HI.avi;F
5920;1073_TAI_SAD_XX.avi;F
3479;1043_ITH_ANG_XX.avi;D
6629;1082_IEO_ANG_MD.avi;D
1407;1018_IOM_DIS_XX.avi;D
5794;1071_TSI_FEA_XX.avi;N
2299;1029_IOM_HAP_XX.avi;H
2956;1037_IOM_SAD_XX.avi;S
3199;1040_TIE_DIS_XX.avi;S
7294;1090_TIE_HAP_XX.avi;H
3783;1047_IWW_ANG_XX.avi;A
216;1003_ITH_SAD_XX.avi;N
2004;1025_ITH_FEA_XX.avi;F
895;1012_IEO_ANG_LO.avi;N
1154;1015_TIE_FEA_XX.avi;D
4713;1058_DFA_HAP_XX.avi;H
4471;1055_DFA_DIS_XX.avi;D
521;1007_IWW_ANG_XX.avi;A
5116;1063_ITH_NEU_XX.avi;N
5775;1071_ITH_ANG_XX.avi;A
1328;1017_IWW_SAD_XX.avi;N
4193;1052_IWW_ANG_XX.avi;A
1482;1019_TIE_FEA_XX.avi;N
4554;1056_ITS_NEU_XX.avi;N
7037;1087_IEO_SAD_HI.avi;S
1241;1016_IOM_ANG_XX.avi;N
2985;1037_ITH_HAP_XX.avi;H
3560;1044_ITH_SAD_XX.avi;F
7335;1090_DFA_NEU_XX.avi;N
7298;1090_TIE_DIS_XX.avi;F
113;1002_IWW_DIS_XX.avi;F
284;1004_MTI_NEU_XX.avi;N
3391;1042_IWL_ANG_XX.avi;A
4627;1057_ITH_ANG_XX.avi;N
434;1006_IOM_FEA_XX.avi;S
2553;1032_IWW_ANG_XX.avi;N
2264;1028_TSI_NEU_XX.avi;N
1605;1020_ITS_ANG_XX.avi;D
2090;1026_DFA_SAD_XX.avi;N
7079;1087_IWL_SAD_XX.avi;S
2192;1027_WSI_FEA_XX.avi;D
2566;1032_MTI_FEA_XX.avi;S
6190;1076_DFA_SAD_XX.avi;S
5408;1067_TIE_NEU_XX.avi;N
626;1008_ITH_SAD_XX.avi;S
4985;1062_IEO_HAP_HI.avi;H
1503;1019_MTI_HAP_XX.avi;H
3976;1049_DFA_SAD_XX.avi;S
410;1006_IEO_HAP_MD.avi;H
5228;1065_IEO_NEU_XX.avi;N
2059;1026_IWW_HAP_XX.avi;H
5787;1071_ITS_ANG_XX.avi;A
3772;1047_TIE_FEA_XX.avi;F
4628;1057_ITH_FEA_XX.avi;N
5075;1063_IEO_FEA_MD.avi;F
1532;1019_WSI_NEU_XX.avi;N
1647;1021_IOM_DIS_XX.avi;S
467;1006_DFA_HAP_XX.avi;H
5454;1067_DFA_FEA_XX.avi;D
5869;1072_ITS_ANG_XX.avi;A
4336;1054_IEO_FEA_LO.avi;A
5218;1064_TSI_SAD_XX.avi;S
241;1003_WSI_ANG_XX.avi;A
4023;1050_IOM_ANG_XX.avi;A
7035;1087_IEO_SAD_LO.avi;S
1495;1019_IWW_DIS_XX.avi;D
6798;1084_IEO_DIS_LO.avi;D
4122;1051_MTI_SAD_XX.avi;N
5392;1067_IEO_NEU_XX.avi;N
5236;1065_IEO_ANG_MD.avi;A
5062;1062_WSI_FEA_XX.avi;F
3431;1043_IEO_ANG_LO.avi;N
4723;1058_ITS_DIS_XX.avi;D
4358;1054_IWW_FEA_XX.avi;F
5287;1065_DFA_HAP_XX.avi;H
1000;1013_IWW_SAD_XX.avi;S
1541;1020_IEO_HAP_HI.avi;H
3389;1042_IWL_HAP_XX.avi;H
7308;1090_IWW_ANG_XX.avi;A
3861;1048_IOM_DIS_XX.avi;S
1428;1018_IWL_SAD_XX.avi;N
6135;1076_IEO_SAD_MD.avi;S
5629;1069_TSI_ANG_XX.avi;A
4138;1051_DFA_NEU_XX.avi;N
2160;1027_IWL_SAD_XX.avi;S
1611;1020_TSI_ANG_XX.avi;A
280;1004_TAI_SAD_XX.avi;S
2378;1030_TIE_FEA_XX.avi;F
3161;1039_ITS_HAP_XX.avi;H
3531;1044_IOM_ANG_XX.avi;A
6873;1085_IEO_SAD_HI.avi;N
1228;1016_IEO_FEA_HI.avi;F
6843;1084_DFA_NEU_XX.avi;N
187;1003_IOM_ANG_XX.avi;H
790;1010_ITS_SAD_XX.avi;N
4175;1052_IEO_DIS_LO.avi;D
1144;1015_IEO_FEA_LO.avi;N
6423;1079_IWL_SAD_XX.avi;S
2862;1036_IEO_FEA_HI.avi;F
7012;1086_DFA_DIS_XX.avi;D
3895;1048_DFA_ANG_XX.avi;D
2844;1035_WSI_NEU_XX.avi;N
7097;1087_ITS_SAD_XX.avi;N
7126;1088_IEO_DIS_LO.avi;D
137;1002_ITH_DIS_XX.avi;F
4331;1054_IEO_SAD_MD.avi;N
3438;1043_IEO_DIS_MD.avi;D
3410;1042_ITS_FEA_XX.avi;F
2791;1035_IOM_HAP_XX.avi;H
6615;1081_WSI_NEU_XX.avi;A
3229;1040_IWL_DIS_XX.avi;S
3399;1042_ITH_DIS_XX.avi;D
397;1005_TSI_HAP_XX.avi;H
887;1011_WSI_DIS_XX.avi;D
4055;1050_ITH_DIS_XX.avi;D
7360;1091_IEO_HAP_LO.avi;H
757;1010_IWW_DIS_XX.avi;H
2189;1027_WSI_HAP_XX.avi;H
5293;1065_ITS_HAP_XX.avi;H
4399;1054_TSI_ANG_XX.avi;A
7351;1090_TSI_FEA_XX.avi;F
2272;1028_WSI_SAD_XX.avi;S
4374;1054_IWL_SAD_XX.avi;N
6331;1078_TAI_FEA_XX.avi;F
2477;1031_TAI_ANG_XX.avi;D
2187;1027_TSI_DIS_XX.avi;D
4780;1059_MTI_FEA_XX.avi;F
5949;1073_ITS_HAP_XX.avi;H
2790;1035_IOM_NEU_XX.avi;N
6961;1086_IEO_FEA_HI.avi;N
4553;1056_DFA_DIS_XX.avi;D
2634;1033_IWW_SAD_XX.avi;D
1668;1021_IWL_SAD_XX.avi;N
5267;1065_TAI_DIS_XX.avi;S
4666;1058_IEO_FEA_HI.avi;F
4822;1060_IEO_SAD_LO.avi;S
4769;1059_IWW_DIS_XX.avi;D
2010;1025_DFA_FEA_XX.avi;F
7243;1089_IWL_SAD_XX.avi;S
4063;1050_ITS_HAP_XX.avi;H
1872;1024_IEO_SAD_HI.avi;N
5904;1073_TIE_FEA_XX.avi;F
105;1002_IOM_ANG_XX.avi;A
2810;1035_MTI_SAD_XX.avi;S
6950;1086_IEO_HAP_LO.avi;H
5055;1062_TSI_ANG_XX.avi;D
279;1004_TAI_HAP_XX.avi;H
2417;1030_DFA_HAP_XX.avi;H
734;1010_IEO_FEA_LO.avi;N
4838;1060_TIE_FEA_XX.avi;N
2433;1030_TSI_DIS_XX.avi;D
4891;1060_TSI_ANG_XX.avi;A
3048;1038_TAI_NEU_XX.avi;D
3141;1039_MTI_DIS_XX.avi;D
1093;1014_MTI_HAP_XX.avi;H
1946;1024_WSI_FEA_XX.avi;F
3320;1041_DFA_SAD_XX.avi;D
6457;1080_IEO_NEU_XX.avi;N
272;1004_IWW_NEU_XX.avi;N
5703;1070_ITS_HAP_XX.avi;H
3670;1046_IEO_NEU_XX.avi;N
1508;1019_IWL_NEU_XX.avi;N
6281;1077_TSI_NEU_XX.avi;N
990;1013_TIE_FEA_XX.avi;F
4741;1059_IEO_SAD_MD.avi;S
5981;1074_IEO_DIS_HI.avi;D
6544;1081_IEO_SAD_MD.avi;N
6022;1074_ITH_FEA_XX.avi;F
2494;1031_ITH_SAD_XX.avi;N
6568;1081_IWW_HAP_XX.avi;H
5368;1066_DFA_NEU_XX.avi;N
947;1012_DFA_HAP_XX.avi;H
7203;1089_IEO_ANG_MD.avi;A
6265;1077_ITH_SAD_XX.avi;N
3477;1043_ITH_HAP_XX.avi;H
3227;1040_IWL_ANG_XX.avi;N
6517;1080_DFA_SAD_XX.avi;S
6358;1078_ITS_HAP_XX.avi;H
3434;1043_IEO_FEA_LO.avi;S
6088;1075_MTI_NEU_XX.avi;N
4887;1060_ITS_DIS_XX.avi;D
2567;1032_MTI_DIS_XX.avi;S
287;1004_MTI_ANG_XX.avi;A
135;1002_ITH_ANG_XX.avi;A
141;1002_DFA_ANG_XX.avi;A
4185;1052_IOM_HAP_XX.avi;H
6214;1077_IEO_HAP_HI.avi;H
2469;1031_IWW_HAP_XX.avi;N
2688;1034_IEO_HAP_MD.avi;H
1945;1024_WSI_ANG_XX.avi;A
7202;1089_IEO_ANG_LO.avi;A
7052;1087_TIE_DIS_XX.avi;D
6306;1078_IEO_DIS_LO.avi;D
5050;1062_ITS_FEA_XX.avi;F
1846;1023_DFA_FEA_XX.avi;F
2727;1034_MTI_HAP_XX.avi;H
5176;1064_IWW_SAD_XX.avi;S
819;1011_IEO_DIS_LO.avi;D
3975;1049_DFA_HAP_XX.avi;H
2473;1031_IWW_DIS_XX.avi;D
6966;1086_TIE_HAP_XX.avi;H
5420;1067_IWW_NEU_XX.avi;N
720;1009_WSI_SAD_XX.avi;S
458;1006_IWL_FEA_XX.avi;F
2967;1037_TAI_HAP_XX.avi;H
2271;1028_WSI_HAP_XX.avi;H
1493;1019_IWW_ANG_XX.avi;N
1917;1024_IWL_DIS_XX.avi;D
4312;1053_ITS_FEA_XX.avi;F
4148;1051_ITS_FEA_XX.avi;F
4226;1052_ITS_NEU_XX.avi;N
933;1012_MTI_DIS_XX.avi;D
2544;1032_IOM_NEU_XX.avi;N
3802;1047_IWL_FEA_XX.avi;F
4748;1059_IEO_FEA_HI.avi;F
2130;1027_TIE_SAD_XX.avi;S
2087;1026_ITH_DIS_XX.avi;D
5919;1073_TAI_HAP_XX.avi;H
6957;1086_IEO_ANG_MD.avi;A
4009;1050_IEO_FEA_MD.avi;F
6851;1084_ITS_SAD_XX.avi;N
4804;1059_ITS_FEA_XX.avi;F
2371;1030_IEO_DIS_LO.avi;D
1527;1019_TSI_HAP_XX.avi;H
3440;1043_TIE_NEU_XX.avi;N
6122;1075_TSI_FEA_XX.avi;F
2835;1035_ITS_ANG_XX.avi;A
6603;1081_ITS_NEU_XX.avi;N
2706;1034_TIE_FEA_XX.avi;S
3297;1041_TAI_ANG_XX.avi;A
2057;1026_IOM_DIS_XX.avi;D
5365;1066_ITH_ANG_XX.avi;N
3182;1040_IEO_SAD_LO.avi;N
4441;1055_IWW_DIS_XX.avi;D
84;1002_IEO_HAP_HI.avi;H
5089;1063_IOM_ANG_XX.avi;A
4882;1060_ITS_NEU_XX.avi;N
1363;1017_ITS_HAP_XX.avi;H
1822;1023_TAI_FEA_XX.avi;F
5774;1071_ITH_SAD_XX.avi;S
6465;1080_IEO_ANG_MD.avi;H
5403;1067_IEO_FEA_MD.avi;N
1962;1025_IEO_DIS_MD.avi;D
203;1003_MTI_HAP_XX.avi;H
6425;1079_IWL_FEA_XX.avi;F
6438;1079_DFA_DIS_XX.avi;S
6958;1086_IEO_ANG_HI.avi;A
2547;1032_IOM_ANG_XX.avi;D
1138;1015_IEO_SAD_LO.avi;N
3902;1048_ITS_FEA_XX.avi;F
1191;1015_ITH_DIS_XX.avi;S
6225;1077_IEO_DIS_MD.avi;D
4216;1052_ITH_SAD_XX.avi;F
5394;1067_IEO_HAP_MD.avi;H
251;1004_IEO_ANG_LO.avi;F
6621;1082_IEO_NEU_XX.avi;N
1383;1018_IEO_HAP_HI.avi;H
6777;1083_TSI_FEA_XX.avi;S
3493;1043_ITS_DIS_XX.avi;D
4113;1051_IWW_DIS_XX.avi;D
7362;1091_IEO_HAP_HI.avi;H
992;1013_IOM_NEU_XX.avi;N
3614;1045_IOM_FEA_XX.avi;F
3019;1038_IEO_SAD_MD.avi;N
3831;1047_WSI_ANG_XX.avi;F
2207;1028_IEO_DIS_LO.avi;D
4256;1053_IEO_FEA_HI.avi;F
7386;1091_IOM_DIS_XX.avi;S
6764;1083_DFA_ANG_XX.avi;A
1002;1013_IWW_FEA_XX.avi;F
5502;1068_IWW_NEU_XX.avi;N
6923;1085_ITH_FEA_XX.avi;F
1674;1021_ITH_SAD_XX.avi;N
669;1009_TIE_DIS_XX.avi;S
3565;1044_DFA_HAP_XX.avi;H
4436;1055_IWW_NEU_XX.avi;N
5546;1068_TSI_SAD_XX.avi;N
4267;1053_IOM_HAP_XX.avi;H
3645;1045_ITH_DIS_XX.avi;D
1421;1018_MTI_HAP_XX.avi;H
3985;1049_ITS_DIS_XX.avi;D
4492;1056_IEO_HAP_MD.avi;H
840;1011_TAI_NEU_XX.avi;N
193;1003_IWW_ANG_XX.avi;H
5119;1063_ITH_ANG_XX.avi;A
2198;1028_IEO_SAD_LO.avi;N
4927;1061_IOM_DIS_XX.avi;D
4500;1056_IEO_FEA_LO.avi;D
2883;1036_IWW_DIS_XX.avi;D
1485;1019_IOM_HAP_XX.avi;H
2110;1026_WSI_FEA_XX.avi;F
1786;1023_IEO_HAP_MD.avi;H
3757;1047_IEO_SAD_MD.avi;N
3275;1041_IEO_DIS_HI.avi;D
2988;1037_ITH_FEA_XX.avi;F
4606;1057_TAI_NEU_XX.avi;N
234;1003_TSI_SAD_XX.avi;N
1572;1020_TAI_NEU_XX.avi;N
3830;1047_WSI_SAD_XX.avi;F
3051;1038_TAI_ANG_XX.avi;A
1498;1019_TAI_SAD_XX.avi;N
6117;1075_ITS_DIS_XX.avi;D
5870;1072_ITS_FEA_XX.avi;F
6706;1083_IEO_HAP_HI.avi;H
4932;1061_IWW_FEA_XX.avi;F
3841;1048_IEO_ANG_LO.avi;N
4630;1057_DFA_NEU_XX.avi;N
3185;1040_IEO_ANG_LO.avi;N
5133;1063_ITS_DIS_XX.avi;S
548;1007_DFA_NEU_XX.avi;N
3149;1039_ITH_HAP_XX.avi;H
7314;1090_TAI_ANG_XX.avi;N
1238;1016_IOM_NEU_XX.avi;N
7067;1087_TAI_SAD_XX.avi;N
3973;1049_ITH_DIS_XX.avi;F
5778;1071_DFA_NEU_XX.avi;N
5607;1069_IWL_DIS_XX.avi;D
4614;1057_MTI_SAD_XX.avi;N
1169;1015_TAI_HAP_XX.avi;H
2533;1032_IEO_FEA_MD.avi;N
2584;1032_DFA_FEA_XX.avi;N
6081;1075_IWW_DIS_XX.avi;D
5588;1069_IWW_FEA_XX.avi;F
1709;1022_IEO_ANG_LO.avi;A
7044;1087_IEO_DIS_LO.avi;N
1193;1015_DFA_HAP_XX.avi;H
6254;1077_MTI_ANG_XX.avi;A
1776;1022_TSI_FEA_XX.avi;N
2890;1036_MTI_NEU_XX.avi;N
2357;1029_WSI_DIS_XX.avi;D
2164;1027_ITH_NEU_XX.avi;N
4309;1053_ITS_HAP_XX.avi;H
3732;1046_DFA_FEA_XX.avi;F
6359;1078_ITS_SAD_XX.avi;S
872;1011_ITS_SAD_XX.avi;N
6547;1081_IEO_ANG_MD.avi;A
2640;1033_TAI_SAD_XX.avi;A
2851;1036_IEO_HAP_LO.avi;H
2913;1036_DFA_DIS_XX.avi;D
3702;1046_IWW_FEA_XX.avi;N
3745;1046_TSI_DIS_XX.avi;D
3728;1046_DFA_NEU_XX.avi;N
1426;1018_IWL_NEU_XX.avi;N
7396;1091_TAI_ANG_XX.avi;A
5825;1072_IOM_HAP_XX.avi;H
6671;1082_IWL_FEA_XX.avi;F
6422;1079_IWL_HAP_XX.avi;H
2286;1029_IEO_FEA_LO.avi;F
1470;1019_IEO_ANG_MD.avi;N
3047;1038_IWW_DIS_XX.avi;D
6698;1082_WSI_HAP_XX.avi;H
2000;1025_ITH_NEU_XX.avi;N
264;1004_TIE_FEA_XX.avi;F
4998;1062_TIE_NEU_XX.avi;N
5230;1065_IEO_HAP_MD.avi;H
5144;1063_WSI_FEA_XX.avi;F
602;1008_IWW_SAD_XX.avi;F
1896;1024_IWW_SAD_XX.avi;F
688;1009_IWL_NEU_XX.avi;N
2742;1034_ITH_FEA_XX.avi;N
4067;1050_ITS_DIS_XX.avi;A
3744;1046_TSI_FEA_XX.avi;S
4801;1059_ITS_HAP_XX.avi;H
4528;1056_TAI_FEA_XX.avi;F
1717;1022_IEO_DIS_HI.avi;D
2049;1026_TIE_ANG_XX.avi;D
2404;1030_IWL_NEU_XX.avi;N
282;1004_TAI_FEA_XX.avi;F
1112;1014_DFA_SAD_XX.avi;N
1445;1018_ITS_HAP_XX.avi;H
6787;1084_IEO_HAP_MD.avi;H
586;1008_IEO_DIS_MD.avi;S
4616;1057_MTI_FEA_XX.avi;N
539;1007_IWL_ANG_XX.avi;D
5008;1062_IOM_FEA_XX.avi;F
5086;1063_IOM_NEU_XX.avi;N
6861;1084_WSI_NEU_XX.avi;N
4537;1056_IWL_HAP_XX.avi;H
4830;1060_IEO_FEA_HI.avi;F
4975;1061_TSI_DIS_XX.avi;D
4083;1051_IEO_HAP_HI.avi;H
5027;1062_MTI_DIS_XX.avi;S
4277;1053_IWW_DIS_XX.avi;D
6371;1078_WSI_SAD_XX.avi;S
3969;1049_ITH_HAP_XX.avi;H
4647;1057_TSI_DIS_XX.avi;A
2444;1031_IEO_SAD_LO.avi;N
1942;1024_WSI_NEU_XX.avi;N
6617;1081_WSI_SAD_XX.avi;N
196;1003_TAI_NEU_XX.avi;N
6762;1083_DFA_HAP_XX.avi;H
4718;1058_ITS_NEU_XX.avi;N
3641;1045_ITH_HAP_XX.avi;N
6832;1084_IWL_HAP_XX.avi;H
3029;1038_IEO_DIS_HI.avi;S
4037;1050_TAI_DIS_XX.avi;D
7400;1091_MTI_HAP_XX.avi;H
2053;1026_IOM_HAP_XX.avi;H
533;1007_MTI_ANG_XX.avi;A
6977;1086_IWW_NEU_XX.avi;N
4633;1057_DFA_ANG_XX.avi;A
5306;1065_WSI_SAD_XX.avi;N
7323;1090_IWL_NEU_XX.avi;N
4732;1058_WSI_SAD_XX.avi;S
6546;1081_IEO_ANG_LO.avi;N
4005;1050_IEO_ANG_LO.avi;A
6521;1080_ITS_NEU_XX.avi;N
847;1011_MTI_HAP_XX.avi;H
4015;1050_TIE_HAP_XX.avi;H
5907;1073_IOM_HAP_XX.avi;H
6394;1079_TIE_ANG_XX.avi;A
3717;1046_IWL_HAP_XX.avi;H
2920;1036_TSI_NEU_XX.avi;N
6882;1085_IEO_DIS_HI.avi;D
1533;1019_WSI_HAP_XX.avi;H
1149;1015_IEO_DIS_HI.avi;N
6633;1082_IEO_FEA_HI.avi;N
4976;1061_WSI_NEU_XX.avi;N
1178;1015_MTI_FEA_XX.avi;F
2424;1030_ITS_SAD_XX.avi;A
5988;1074_IOM_NEU_XX.avi;N
4423;1055_IEO_DIS_HI.avi;D
2646;1033_MTI_SAD_XX.avi;N
3927;1049_IEO_FEA_MD.avi;F
4597;1057_IOM_ANG_XX.avi;N
7170;1088_ITH_DIS_XX.avi;S
2676;1033_TSI_SAD_XX.avi;F
3697;1046_IOM_DIS_XX.avi;N
649;1009_IEO_HAP_LO.avi;H
2959;1037_IOM_DIS_XX.avi;D
4579;1057_IEO_ANG_LO.avi;A
1371;1017_TSI_ANG_XX.avi;A
1834;1023_IWL_FEA_XX.avi;D
486;1006_WSI_SAD_XX.avi;S
6530;1080_TSI_ANG_XX.avi;H
6951;1086_IEO_HAP_MD.avi;H
2735;1034_IWL_ANG_XX.avi;N
4556;1056_ITS_SAD_XX.avi;S
1666;1021_IWL_NEU_XX.avi;N
6558;1081_TIE_ANG_XX.avi;A
2031;1026_IEO_HAP_LO.avi;H
314;1004_TSI_NEU_XX.avi;N
5025;1062_MTI_ANG_XX.avi;S
